datetime,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52
2016-04-01 00:00:00,18.96,55,25,25,13.87,20,12.29,10.72,6,5.55,6.45,5,6,6,6,6,5,5,3.95,4.24,4.84,4.17,5,5,3.5,24.27,10,9.63,14,11.85,8.11,5,10.42,9.49,11.07,5,5,2.73,10,3.16,3.5,4,10.01,8.41,5,5,7,5.22,45,12.39,3.5,8
2016-04-01 00:15:00,18.96,55,25,25,13.87,20,12.29,10.72,6,5.55,6.45,5,6,6,6,6,5,5,3.95,4.24,4.84,4.17,5,5,3.5,24.27,10,9.63,14,11.85,8.11,5,10.42,9.49,11.07,5,5,2.73,10,3.16,3.5,4,10.01,8.41,5,5,7,5.22,45,12.39,3.5,8
2016-04-01 00:30:00,18.96,55,25,25,13.87,20,12.29,10.72,6,5.55,6.45,5,6,6,6,6,5,5,3.95,4.24,4.84,4.17,5,5,3.5,24.27,10,9.63,14,11.85,8.11,5,10.42,9.49,11.07,5,5,2.73,10,3.16,3.5,4,10.01,8.41,5,5,7,5.22,45,12.39,3.5,8
2016-04-01 00:45:00,18.96,55,25,25,13.87,20,12.29,10.72,6,5.55,6.45,5,6,6,6,6,5,5,3.95,4.24,4.84,4.17,5,5,3.5,24.27,10,9.63,14,11.85,8.11,5,10.42,9.49,11.07,5,5,2.73,10,3.16,3.5,4,10.01,8.41,5,5,7,5.22,45,12.39,3.5,8
2016-04-01 01:00:00,18.64,11.6,6,12.38,12.65,13.14,12.6,12.87,6,5,5,5,5.26,6,5.09,5.63,4.28,4.43,3.5,2.81,3.5,3.5,3.5,5.03,3.25,6.45,7.87,9.74,10.06,6.81,7.25,5,10.31,5,12.25,3.5,3.5,1.31,5.15,1.35,2.61,3.5,4,6.86,3.5,5,6.74,5,35.06,10.12,3.5,8
2016-04-01 01:15:00,18.64,11.6,6,12.38,12.65,13.14,12.6,12.87,6,5,5,5,5.26,6,5.09,5.63,4.28,4.43,3.5,2.81,3.5,3.5,3.5,5.03,3.25,6.45,7.87,9.74,10.06,6.81,7.25,5,10.31,5,12.25,3.5,3.5,1.31,5.15,1.35,2.61,3.5,4,6.86,3.5,5,6.74,5,35.06,10.12,3.5,8
2016-04-01 01:30:00,18.64,11.6,6,12.38,12.65,13.14,12.6,12.87,6,5,5,5,5.26,6,5.09,5.63,4.28,4.43,3.5,2.81,3.5,3.5,3.5,5.03,3.25,6.45,7.87,9.74,10.06,6.81,7.25,5,10.31,5,12.25,3.5,3.5,1.31,5.15,1.35,2.61,3.5,4,6.86,3.5,5,6.74,5,35.06,10.12,3.5,8
2016-04-01 01:45:00,18.64,11.6,6,12.38,12.65,13.14,12.6,12.87,6,5,5,5,5.26,6,5.09,5.63,4.28,4.43,3.5,2.81,3.5,3.5,3.5,5.03,3.25,6.45,7.87,9.74,10.06,6.81,7.25,5,10.31,5,12.25,3.5,3.5,1.31,5.15,1.35,2.61,3.5,4,6.86,3.5,5,6.74,5,35.06,10.12,3.5,8
2016-04-01 02:00:00,10.07,6,3.5,10.91,6,6,8,8.45,5.93,5,5,3.88,4.11,5.91,6,5.12,3.5,3.78,3.49,2.44,3.5,3.5,3.71,4.97,2.61,7.91,8.98,8.84,8.9,6.79,8.38,5.52,10.72,5,13.11,5,5,2.11,10,1,2.4,3.23,4,4.63,3.5,4.34,5.97,3.5,26.65,11.73,4.09,6.66
2016-04-01 02:15:00,10.07,6,3.5,10.91,6,6,8,8.45,5.93,5,5,3.88,4.11,5.91,6,5.12,3.5,3.78,3.49,2.44,3.5,3.5,3.71,4.97,2.61,7.91,8.98,8.84,8.9,6.79,8.38,5.52,10.72,5,13.11,5,5,2.11,10,1,2.4,3.23,4,4.63,3.5,4.34,5.97,3.5,26.65,11.73,4.09,6.66
