datetime,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52
2016-04-01 00:00:00,33.01,20.24,12,8.98,7.05,4,2.25,4,3.71,2.61,2.41,2.61,2.61,2.61,2.44,2.53,2.56,2.61,2.31,2.5,2.21,2.21,2.4,2.11,2.01,5.31,3.11,8.61,12.85,12.59,5.2,2,1.76,5,2.32,1,3.2,2.11,5,1.11,0.01,3,3.01,3,1,2.75,2.5,1.54,10,8.11,3.28,4
2016-04-01 00:15:00,33.01,20.24,12,8.98,7.05,4,2.25,4,3.71,2.61,2.41,2.61,2.61,2.61,2.44,2.53,2.56,2.61,2.31,2.5,2.21,2.21,2.4,2.11,2.01,5.31,3.11,8.61,12.85,12.59,5.2,2,1.76,5,2.32,1,3.2,2.11,5,1.11,0.01,3,3.01,3,1,2.75,2.5,1.54,10,8.11,3.28,4
2016-04-01 00:30:00,33.01,20.24,12,8.98,7.05,4,2.25,4,3.71,2.61,2.41,2.61,2.61,2.61,2.44,2.53,2.56,2.61,2.31,2.5,2.21,2.21,2.4,2.11,2.01,5.31,3.11,8.61,12.85,12.59,5.2,2,1.76,5,2.32,1,3.2,2.11,5,1.11,0.01,3,3.01,3,1,2.75,2.5,1.54,10,8.11,3.28,4
2016-04-01 00:45:00,33.01,20.24,12,8.98,7.05,4,2.25,4,3.71,2.61,2.41,2.61,2.61,2.61,2.44,2.53,2.56,2.61,2.31,2.5,2.21,2.21,2.4,2.11,2.01,5.31,3.11,8.61,12.85,12.59,5.2,2,1.76,5,2.32,1,3.2,2.11,5,1.11,0.01,3,3.01,3,1,2.75,2.5,1.54,10,8.11,3.28,4
2016-04-01 01:00:00,8.61,4,5.5,2.61,2.5,2.61,1.11,2.11,2,2.04,1.9,2.11,2.11,2.3,2.11,2.11,2.1,2.21,1.62,1.61,1.8,1.52,1.01,1.61,1.76,2.11,1,2.61,3.11,2.63,1.61,1.01,2,2.8,2,1,2.9,1.61,3.05,1,0.01,3,3,3,0.5,2.75,2.11,1.47,10,4,2.11,1.47
2016-04-01 01:15:00,8.61,4,5.5,2.61,2.5,2.61,1.11,2.11,2,2.04,1.9,2.11,2.11,2.3,2.11,2.11,2.1,2.21,1.62,1.61,1.8,1.52,1.01,1.61,1.76,2.11,1,2.61,3.11,2.63,1.61,1.01,2,2.8,2,1,2.9,1.61,3.05,1,0.01,3,3,3,0.5,2.75,2.11,1.47,10,4,2.11,1.47
2016-04-01 01:30:00,8.61,4,5.5,2.61,2.5,2.61,1.11,2.11,2,2.04,1.9,2.11,2.11,2.3,2.11,2.11,2.1,2.21,1.62,1.61,1.8,1.52,1.01,1.61,1.76,2.11,1,2.61,3.11,2.63,1.61,1.01,2,2.8,2,1,2.9,1.61,3.05,1,0.01,3,3,3,0.5,2.75,2.11,1.47,10,4,2.11,1.47
2016-04-01 01:45:00,8.61,4,5.5,2.61,2.5,2.61,1.11,2.11,2,2.04,1.9,2.11,2.11,2.3,2.11,2.11,2.1,2.21,1.62,1.61,1.8,1.52,1.01,1.61,1.76,2.11,1,2.61,3.11,2.63,1.61,1.01,2,2.8,2,1,2.9,1.61,3.05,1,0.01,3,3,3,0.5,2.75,2.11,1.47,10,4,2.11,1.47
2016-04-01 02:00:00,8.11,3.01,4.94,2.01,2.11,2.3,1.11,2.01,1.5,1.61,1,2,1.73,2.11,2,2,2.01,2.11,1.61,1.41,1.61,1.52,1,1.01,1.61,2.11,1,2.61,3.5,2.63,2,1.14,2,3,2,1,2.9,1.01,3.05,1,0.01,2.74,3,3,0.5,2.75,2.11,1.54,6.01,4,2.11,1.47
2016-04-01 02:15:00,8.11,3.01,4.94,2.01,2.11,2.3,1.11,2.01,1.5,1.61,1,2,1.73,2.11,2,2,2.01,2.11,1.61,1.41,1.61,1.52,1,1.01,1.61,2.11,1,2.61,3.5,2.63,2,1.14,2,3,2,1,2.9,1.01,3.05,1,0.01,2.74,3,3,0.5,2.75,2.11,1.54,6.01,4,2.11,1.47
