Delivery Date,Hour Ending,day ahead price
2016-04-01,00:00:00,15.60083333
2016-04-01,01:00:00,13.6875
2016-04-01,02:00:00,12.78166667
2016-04-01,03:00:00,12.88
2016-04-01,04:00:00,13.55083333
2016-04-01,05:00:00,15.42083333
2016-04-01,06:00:00,19.92666667
2016-04-01,07:00:00,18.77833333
2016-04-01,08:00:00,18.695
2016-04-01,09:00:00,19.4425
2016-04-01,10:00:00,20.5125
2016-04-01,11:00:00,22.05166667
2016-04-01,12:00:00,23.6325
2016-04-01,13:00:00,26.11416667
2016-04-01,14:00:00,28.28166667
2016-04-01,15:00:00,32.74583333
2016-04-01,16:00:00,32.80416667
2016-04-01,17:00:00,28.45166667
2016-04-01,18:00:00,28.07666667
2016-04-01,19:00:00,25.05333333
2016-04-01,20:00:00,23.61666667
2016-04-01,21:00:00,20.94
2016-04-01,22:00:00,18.79083333
2016-04-01,23:00:00,17.0125
2016-04-02,00:00:00,15.2075
2016-04-02,01:00:00,13.72583333
2016-04-02,02:00:00,13.10166667
2016-04-02,03:00:00,12.675
2016-04-02,04:00:00,13.64166667
2016-04-02,05:00:00,15.37583333
2016-04-02,06:00:00,18.02833333
2016-04-02,07:00:00,17.95666667
2016-04-02,08:00:00,19.2375
2016-04-02,09:00:00,20.97666667
2016-04-02,10:00:00,21.12416667
2016-04-02,11:00:00,22.3275
2016-04-02,12:00:00,23.30916667
2016-04-02,13:00:00,25.49416667
2016-04-02,14:00:00,27.5225
2016-04-02,15:00:00,33.19833333
2016-04-02,16:00:00,35.14916667
2016-04-02,17:00:00,30.05333333
2016-04-02,18:00:00,27.98166667
2016-04-02,19:00:00,24.7
2016-04-02,20:00:00,24.11416667
2016-04-02,21:00:00,21.27833333
2016-04-02,22:00:00,19.09833333
2016-04-02,23:00:00,17.1625
2016-04-03,00:00:00,16.11833333
2016-04-03,01:00:00,15.01833333
2016-04-03,02:00:00,13.85833333
2016-04-03,03:00:00,14.09
2016-04-03,04:00:00,14.67666667
2016-04-03,05:00:00,15.92416667
2016-04-03,06:00:00,18.6325
2016-04-03,07:00:00,18.06583333
2016-04-03,08:00:00,18.71166667
2016-04-03,09:00:00,19.86333333
2016-04-03,10:00:00,20.81916667
2016-04-03,11:00:00,22.315
2016-04-03,12:00:00,23.09833333
2016-04-03,13:00:00,26.5275
2016-04-03,14:00:00,31.03666667
2016-04-03,15:00:00,35.19583333
2016-04-03,16:00:00,37.28916667
2016-04-03,17:00:00,30.60583333
2016-04-03,18:00:00,29.36166667
2016-04-03,19:00:00,25.3125
2016-04-03,20:00:00,24.26833333
2016-04-03,21:00:00,21.4875
2016-04-03,22:00:00,18.96916667
2016-04-03,23:00:00,17.20166667
2016-04-04,00:00:00,15.01083333
2016-04-04,01:00:00,13.62833333
2016-04-04,02:00:00,13.05583333
2016-04-04,03:00:00,12.9475
2016-04-04,04:00:00,13.8875
2016-04-04,05:00:00,16.19166667
2016-04-04,06:00:00,23.40333333
2016-04-04,07:00:00,20.26666667
2016-04-04,08:00:00,19.24416667
2016-04-04,09:00:00,20.0275
2016-04-04,10:00:00,20.48833333
2016-04-04,11:00:00,22.035
2016-04-04,12:00:00,23.83583333
2016-04-04,13:00:00,27.22833333
2016-04-04,14:00:00,37.84333333
2016-04-04,15:00:00,48.6075
2016-04-04,16:00:00,46.89833333
2016-04-04,17:00:00,34.44083333
2016-04-04,18:00:00,28.20166667
2016-04-04,19:00:00,24.54083333
2016-04-04,20:00:00,23.3975
2016-04-04,21:00:00,20.94666667
2016-04-04,22:00:00,18.6925
2016-04-04,23:00:00,16.90083333
2016-04-05,00:00:00,15.15583333
2016-04-05,01:00:00,13.96
2016-04-05,02:00:00,13.21666667
2016-04-05,03:00:00,13.15166667
2016-04-05,04:00:00,14.01333333
2016-04-05,05:00:00,15.84333333
2016-04-05,06:00:00,21.875
2016-04-05,07:00:00,19.09
2016-04-05,08:00:00,19.03333333
2016-04-05,09:00:00,20.46333333
2016-04-05,10:00:00,21.39166667
2016-04-05,11:00:00,22.97166667
2016-04-05,12:00:00,24.76583333
2016-04-05,13:00:00,29.455
2016-04-05,14:00:00,37.85666667
2016-04-05,15:00:00,49.30083333
2016-04-05,16:00:00,48.365
2016-04-05,17:00:00,33.63833333
2016-04-05,18:00:00,26.81083333
2016-04-05,19:00:00,23.47
2016-04-05,20:00:00,22.14916667
2016-04-05,21:00:00,20.04833333
2016-04-05,22:00:00,17.89083333
2016-04-05,23:00:00,15.98666667
2016-04-06,00:00:00,14.15416667
2016-04-06,01:00:00,12.615
2016-04-06,02:00:00,11.65166667
2016-04-06,03:00:00,11.53333333
2016-04-06,04:00:00,12.39
2016-04-06,05:00:00,14.44333333
2016-04-06,06:00:00,17.45916667
