datetime,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52
2016-04-01 00:00:00,-0.16,12.67,12.16,0.04,13.87,10.4,13,13.7,10.61,13.87,15.04,17.78,18.32,19.84,16.78,16.33,20.3,18.58,20.07,19.34,16.49,18.11,17.2,17.67,18.95,19.8,15.92,16.68,18.2,17.88,17.54,14.67,9.52,14.43,6.67,20.01,19.65,23.99,18.48,16.87,15.86,17.14,-0.42,14.74,-0.14,16.39,14.75,13.04,-0.58,10.8,14.07,13.36
2016-04-01 00:15:00,0,13.99,12.01,4.6,16.33,11.39,13.35,13.96,11.5,13.87,15.11,17.87,18.68,19.54,17,16.89,20.18,18.63,19.96,19.75,16.23,17.97,17.04,16.97,18.66,19.33,15.52,7.73,18.46,18.19,17.82,14.72,11.98,13.87,14.18,19.97,19.37,24.03,18.14,16.86,15.85,17.18,-0.55,14.98,-0.45,16.36,14.63,12.94,-0.54,10.78,13.5,13.36
2016-04-01 00:30:00,0.1,14.39,11.46,0.11,15.74,10.87,13.17,13.63,11.38,13.6,14.84,17.81,18.2,19.29,16.57,16.53,19.93,18.32,19.81,19.77,15.92,17.88,16.85,16.54,18.7,19.33,12.37,15.33,18.04,18.18,17.34,14.63,10.86,13.62,13.16,19.82,19.23,23.82,18.16,16.86,15.89,17.21,-0.64,15.09,-0.1,16.45,13.75,12.19,-0.57,10.49,12.68,12.66
2016-04-01 00:45:00,-0.14,14.92,11.03,0,13.31,11.18,12.67,13.28,11.67,13.04,14.73,17.31,18.08,18.64,15.72,15.81,19.64,17.52,19.42,19.21,15.65,17.43,16.7,15.65,18.28,19.28,15.11,14.36,18.01,18.08,17.13,14.37,10.97,13.76,10.73,19.85,19.23,23.73,18.24,16.86,16,17.17,-0.63,14.97,0,16.24,12.3,12.14,-0.58,6.31,12.33,12.14
2016-04-01 01:00:00,-0.15,15.95,10.87,0,13.83,11.31,12.28,12.73,14.26,12.85,14.35,17.02,18.09,18.46,14.94,15.34,19.5,17.18,19.48,18.69,15.59,17.03,16.24,9.68,18,18.8,11.25,10.91,17.81,17.95,15.79,14.16,0.36,14.03,15.93,19.84,19.31,23.69,18.24,16.81,15.97,17.37,-0.63,14.65,4.83,16.26,11.77,11.83,-0.62,0,12.49,12.05
2016-04-01 01:15:00,-0.39,14.9,10.54,0,13.68,11.74,12.29,12.3,15.81,12.5,13.91,16.83,17.95,18.8,14.21,15.24,19.32,16.71,19.4,18.41,15.39,16.69,15.77,9.71,17.79,18.71,2.44,6.57,17.59,17.76,10.74,13.93,3.52,14.46,11.17,19.8,19.22,23.55,18.14,16.65,16.01,17.32,-0.64,14.21,3.23,16.04,11.66,12.03,-0.63,-0.55,12.12,11.53
2016-04-01 01:30:00,-0.4,14.36,10.18,-0.13,12.99,12.56,12.13,11.25,15.94,11.1,13.82,16.56,17.86,18.93,13.64,15.33,19.12,16.51,19.12,18.35,15.29,16.68,15.29,10.78,17.51,18.42,0,0.01,17.55,17.67,6.29,14.03,3.39,14.43,11.77,19.78,19.21,23.65,18.02,16.61,15.9,17.56,-0.67,14.08,7.93,16.19,11.6,11.21,-0.7,-0.55,11.98,11.23
2016-04-01 01:45:00,-0.55,15.18,10.1,-0.28,12.32,12.75,11.99,10.96,16.19,11.76,13.75,16.39,17.79,18.68,14.52,15.35,18.98,16.39,18.78,18.26,15.25,16.52,15.34,14.35,17.33,18.28,0,-0.12,17.46,17.56,15.51,14.02,0.08,14,13,19.78,19.23,23.91,17.85,16.6,15.88,18.26,-0.77,13.82,5.94,16.24,11.51,10.58,-0.67,-0.82,11.79,11.05
2016-04-01 02:00:00,-0.44,16.21,10.31,-0.01,13.33,12.3,11.94,10.78,16.42,7.11,13.59,16.23,17.57,18.75,15.36,15.45,18.9,15.88,18.84,18.38,15.17,16.55,15.28,8.51,16.92,18.08,0,0,17.48,17.29,6.54,13.99,8.78,14.05,14.57,19.69,19.22,24.01,17.69,16.61,15.98,18.43,-0.71,14.25,8.34,16.14,11.18,10.79,-0.73,-0.55,11.15,10.79
2016-04-01 02:15:00,-0.43,16.31,10.13,0,12.97,12.4,11.66,10,16.57,5.57,13.26,15.99,17.22,18.84,14.23,15.42,18.86,15.35,18.79,18.39,14.86,16.45,15.33,7.4,16.68,17.78,1.64,1.79,17.33,17.36,8.85,14.01,10.84,14.42,14.29,19.66,19.25,24.27,17.67,16.61,15.93,18.39,-0.65,14.25,7.69,15.99,10.98,10.45,-0.78,-0.58,8.87,10.56
