datetime,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66
2016-04-01 00:00:00,0.48,0.346666667,0.88,0.271111111,0.186666667,0.133333333,0.328888889,0.084444444,0.24,1,0.484444444,0.04,0.204444444,0.248888889,0.591111111,0.213333333,0.337777778,0.377777778,0.471111111,0.644444444,0,0.568888889,0.124444444,0.937777778,0.795555556,0.404444444,0,0.608888889,0.217777778,0.631111111,0,0.293333333,0,0.635555556,0.133333333,0,0.271111111,0.857777778,0.964444444,0.204444444,0.324444444,0.262222222,0.653333333,0.631111111,0,0.084444444,0,0.213333333,0.071111111,0.546666667,0,0.173333333,0.151111111,0,0,0,0.431111111,0.071111111,0.057777778,0,0.306666667,0,0.146666667,0.208888889,0.151111111,0
2016-04-01 00:15:00,0.586666667,0.413333333,0.155555556,0.32,0.306666667,0,0.502222222,0,0.417777778,1,0.755555556,0.751111111,0,0.173333333,0.6,0,0.8,0.84,0.457777778,0.76,0.364444444,0.4,0.026666667,0.64,0.697777778,0.346666667,0.231111111,0.404444444,0.586666667,0,0.595555556,0.635555556,0,0.631111111,0.04,0,0,0.48,1,0.511111111,0.128888889,0.275555556,0.16,0.537777778,0,0.022222222,0.617777778,0.124444444,0.022222222,0.088888889,0.084444444,0.053333333,0.155555556,0,0.106666667,0.902222222,0.413333333,0,0.253333333,0.977777778,0,0,0.48,0,0.795555556,0.697777778
2016-04-01 00:30:00,0.395555556,0.808888889,0.746666667,0.453333333,0.413333333,0,0.626666667,0.337777778,0.32,0.804444444,0.337777778,0.764444444,0,0.031111111,0.782222222,0,0.84,0.693333333,0.991111111,0.24,0.408888889,0.471111111,0.4,0.751111111,0.733333333,0.591111111,0,0.511111111,0.391111111,0.382222222,0.96,0.404444444,0.12,0.622222222,0.56,0.111111111,0.382222222,0.444444444,0.475555556,0.293333333,0,0.4,0.257777778,0.942222222,0.022222222,0.266666667,0,0.404444444,0.675555556,0.653333333,0.208888889,0,0.48,0.297777778,0.373333333,0.426666667,0.328888889,0.062222222,0.391111111,0.288888889,0,0.28,0.795555556,0.111111111,1,0.475555556
2016-04-01 00:45:00,0,0.471111111,0,0.253333333,1,0.04,0.577777778,0,0.36,0.742222222,0.804444444,0.475555556,0,0.564444444,0.595555556,0,0.64,0.293333333,0.648888889,0.311111111,0.413333333,0.524444444,0.697777778,0.426666667,0.684444444,0.457777778,0,0.995555556,0,0,0.897777778,0.284444444,0.035555556,0.746666667,0,0.248888889,0.217777778,0.662222222,0.382222222,0.608888889,0,0.6,0.457777778,0.617777778,0,0.293333333,0.32,0.671111111,0.275555556,0.36,0.444444444,0,0.173333333,0,0.08,0.048888889,0,0.013333333,1,0.924444444,0.337777778,0.475555556,0.626666667,0,0.893333333,0.328888889
2016-04-01 01:00:00,0.742222222,0.604444444,0.284444444,0.182222222,1,0.342222222,0.555555556,0.164444444,0.071111111,0.2,0.382222222,0.804444444,0.453333333,0.111111111,0.764444444,0,0.902222222,0.666666667,0.964444444,0.422222222,0.56,0.368888889,0.52,0.32,0.253333333,0.075555556,0,0.977777778,0.013333333,0.657777778,0.44,0.715555556,0.551111111,0.475555556,0.244444444,0.737777778,0.777777778,1,0.44,0.546666667,0.066666667,1,0.484444444,0.484444444,0.4,0.844444444,0,0.208888889,0,0,0.195555556,0.497777778,0.773333333,0.044444444,0.368888889,0.253333333,0.093333333,0.026666667,0.213333333,0.177777778,0.56,0,0.666666667,0,1,0.702222222
2016-04-01 01:15:00,0.084444444,0,0.644444444,0.36,0.4,0.088888889,0.071111111,0,0.306666667,1,0.248888889,0.306666667,0,0.262222222,0.422222222,0,0.502222222,0.511111111,0.586666667,0.413333333,0.244444444,0.791111111,0,0.475555556,0.768888889,0.755555556,0,1,0.106666667,0,0.555555556,0.591111111,0.195555556,0.475555556,0.204444444,0.382222222,0.04,0.502222222,0.724444444,0.564444444,0.053333333,0.826666667,0.155555556,0.6,0.515555556,0.564444444,0.551111111,0.662222222,0.426666667,0.413333333,0.062222222,0.311111111,0.48,0.191111111,0.551111111,0.428888889,0.52,0,1,0.84,0,0.737777778,1,0,0.817777778,0.111111111
2016-04-01 01:30:00,0.253333333,0.604444444,0.764444444,0.502222222,0.888888889,0.577777778,0.235555556,0.644444444,0.244444444,0.288888889,0.244444444,0.546666667,0.071111111,0.137777778,0.52,0.213333333,0.662222222,0.742222222,0.937777778,0.351111111,0.204444444,0.68,0.022222222,0.942222222,0.688888889,0.324444444,0,0.973333333,0.755555556,0.24,0.582222222,0.582222222,0.6,0.817777778,0.968888889,0.053333333,0.08,0.991111111,0.364444444,0.431111111,0,0.4,0.133333333,0.453333333,0,0.4,0.102222222,0,0.288888889,0.524444444,0.191111111,0.266666667,0.142222222,0,0.146666667,0.364444444,0.746666667,0,0.688888889,0.213333333,0,0.453333333,0.808888889,0,0.777777778,0.884444444
2016-04-01 01:45:00,0.857777778,0.351111111,0.395555556,0.933333333,1,0.066666667,0.702222222,0.475555556,0.755555556,0.448888889,0.675555556,0.951111111,0.733333333,0.075555556,0.675555556,0,0.764444444,0.68,0.724444444,0.471111111,0.488888889,0.844444444,0.195555556,0.337777778,0.546666667,0.302222222,0,1,0.413333333,0.097777778,0.36,0.911111111,0.213333333,0.613333333,0.106666667,0,0,0.253333333,0.524444444,0.462222222,0,0.484444444,0.622222222,0.857777778,0.346666667,0.44,0.755555556,0.484444444,0.315555556,0.24,0.515555556,0,0.871111111,0,0.368888889,0.577777778,0.488888889,0,0,0.551111111,0.031111111,0,0.675555556,0.151111111,0.964444444,0.462222222
2016-04-01 02:00:00,0.422222222,0.124444444,0.657777778,1,1,0.226666667,0.471111111,0.6,0.368888889,0.657777778,0.377777778,0.413333333,0.471111111,0,0.92,0,0.6,0.191111111,0.222222222,0.2,0.377777778,0.893333333,0.626666667,0,0.808888889,0.382222222,0,0.893333333,0.391111111,0.297777778,0.893333333,0.848888889,0.728888889,0.337777778,0.373333333,0.511111111,0.773333333,0.862222222,0.44,0.062222222,0.088888889,0.702222222,0,0.791111111,0.026666667,0.453333333,0.355555556,0.137777778,0.284444444,0.288888889,0.28,0,0.671111111,0.186666667,0.284444444,0.257777778,0.462222222,0,0.675555556,0.253333333,0,0.617777778,0.773333333,0.222222222,0.373333333,1
2016-04-01 02:15:00,0.728888889,0.302222222,0.742222222,0.635555556,1,0.364444444,1,0.097777778,0.475555556,0.195555556,0.311111111,0.431111111,0.662222222,0,0.755555556,0,0.848888889,0,0.706666667,0.173333333,0.293333333,0.306666667,0,0.52,0.413333333,0.382222222,0,1,0.524444444,0.035555556,0.253333333,1,0.951111111,0.773333333,0.448888889,0.884444444,0.337777778,0.435555556,0.902222222,0.586666667,0,0.066666667,0.213333333,0.951111111,0.906666667,0.924444444,0.551111111,0.653333333,0.151111111,0.453333333,0.448888889,0.155555556,1,0.591111111,0.217777778,0.235555556,0.591111111,0,0.968888889,1,0,0.582222222,0.302222222,0.862222222,0.871111111,0.617777778
